total_cost_usd,duration_minutes,repo_name,head_sha,workflow_name,yaml_line_count,yaml_depth,job_count,total_steps,avg_steps_per_job,uses_matrix_strategy,matrix_dimensions,matrix_permutations,fail_fast,os_label,container_image,timeout_minutes,unique_actions_used,is_using_setup_actions,is_using_docker_actions,is_using_cache,env_var_count,if_condition_count,needs_dependencies_count,code_complexity,primary_language
0.008400000000000001,1.05,plankanban/planka,8009fbacc62b5c5e7ff324e1cef7e7e976fcf592,Lint,61,4,1,11,11.0,False,0,1,True,ubuntu,False,0,2,True,False,False,1,0,0,0.079309,javascript
0.008400000000000001,1.05,plankanban/planka,8009fbacc62b5c5e7ff324e1cef7e7e976fcf592,Lint,81,4,1,11,11.0,False,0,1,True,self-hosted,False,0,8,True,True,False,0,0,0,0.079309,javascript
0.008400000000000001,1.05,plankanban/planka,8009fbacc62b5c5e7ff324e1cef7e7e976fcf592,Lint,87,4,1,11,11.0,False,0,1,True,self-hosted,False,0,7,True,True,False,0,0,0,0.079309,javascript
0.008400000000000001,1.05,plankanban/planka,8009fbacc62b5c5e7ff324e1cef7e7e976fcf592,Lint,80,4,1,9,9.0,False,0,1,True,ubuntu,False,0,4,True,False,True,7,0,0,0.079309,javascript
0.008400000000000001,1.05,plankanban/planka,8009fbacc62b5c5e7ff324e1cef7e7e976fcf592,Lint,34,4,1,5,5.0,False,0,1,True,ubuntu,False,0,3,True,False,True,0,0,0,0.079309,javascript
0.008400000000000001,1.05,plankanban/planka,8009fbacc62b5c5e7ff324e1cef7e7e976fcf592,Lint,45,4,1,5,5.0,False,0,1,True,self-hosted,False,0,3,False,False,False,1,0,0,0.079309,javascript
0.015466666666666667,1.9333333333333333,plankanban/planka,8009fbacc62b5c5e7ff324e1cef7e7e976fcf592,Build and Test,61,4,1,11,11.0,False,0,1,True,ubuntu,False,0,2,True,False,False,1,0,0,0.079309,javascript
0.015466666666666667,1.9333333333333333,plankanban/planka,8009fbacc62b5c5e7ff324e1cef7e7e976fcf592,Build and Test,81,4,1,11,11.0,False,0,1,True,self-hosted,False,0,8,True,True,False,0,0,0,0.079309,javascript
0.015466666666666667,1.9333333333333333,plankanban/planka,8009fbacc62b5c5e7ff324e1cef7e7e976fcf592,Build and Test,87,4,1,11,11.0,False,0,1,True,self-hosted,False,0,7,True,True,False,0,0,0,0.079309,javascript
0.015466666666666667,1.9333333333333333,plankanban/planka,8009fbacc62b5c5e7ff324e1cef7e7e976fcf592,Build and Test,80,4,1,9,9.0,False,0,1,True,ubuntu,False,0,4,True,False,True,7,0,0,0.079309,javascript
0.015466666666666667,1.9333333333333333,plankanban/planka,8009fbacc62b5c5e7ff324e1cef7e7e976fcf592,Build and Test,34,4,1,5,5.0,False,0,1,True,ubuntu,False,0,3,True,False,True,0,0,0,0.079309,javascript
0.015466666666666667,1.9333333333333333,plankanban/planka,8009fbacc62b5c5e7ff324e1cef7e7e976fcf592,Build and Test,45,4,1,5,5.0,False,0,1,True,self-hosted,False,0,3,False,False,False,1,0,0,0.079309,javascript
0.006533333333333334,0.8166666666666667,plankanban/planka,d5d3f1de4461f55de8253ce01dc53bb126538180,npm_and_yarn in /client for bn.js - Update #1256903257,61,4,1,11,11.0,False,0,1,True,ubuntu,False,0,2,True,False,False,1,0,0,0.079309,javascript
0.006533333333333334,0.8166666666666667,plankanban/planka,d5d3f1de4461f55de8253ce01dc53bb126538180,npm_and_yarn in /client for bn.js - Update #1256903257,81,4,1,11,11.0,False,0,1,True,self-hosted,False,0,8,True,True,False,0,0,0,0.079309,javascript
0.006533333333333334,0.8166666666666667,plankanban/planka,d5d3f1de4461f55de8253ce01dc53bb126538180,npm_and_yarn in /client for bn.js - Update #1256903257,87,4,1,11,11.0,False,0,1,True,self-hosted,False,0,7,True,True,False,0,0,0,0.079309,javascript
0.006533333333333334,0.8166666666666667,plankanban/planka,d5d3f1de4461f55de8253ce01dc53bb126538180,npm_and_yarn in /client for bn.js - Update #1256903257,80,4,1,9,9.0,False,0,1,True,ubuntu,False,0,4,True,False,True,7,0,0,0.079309,javascript
0.006533333333333334,0.8166666666666667,plankanban/planka,d5d3f1de4461f55de8253ce01dc53bb126538180,npm_and_yarn in /client for bn.js - Update #1256903257,34,4,1,5,5.0,False,0,1,True,ubuntu,False,0,3,True,False,True,0,0,0,0.079309,javascript
